attribute_id,attribute_group_id,sort_order,group_name_ru,name_ru
25,8,900,Рама,"Передняя вилка"
26,9,1,"Общая информация",pa_common_date
27,9,1,"Общая информация",pa_bike_class
28,9,1,"Общая информация",pa_bike_material
29,9,1,"Общая информация",pa_bike_color
30,8,0,Рама,attribute:pa_bike_weight
31,8,0,Рама,attribute:pa_common_date
32,8,0,Рама,attribute:pa_bike_class
33,8,0,Рама,attribute:pa_female
34,8,0,Рама,attribute:pa_bike_kid_teen
35,9,0,"Общая информация","Дата выхода на рынок "
36,9,0,"Общая информация","Класс "
37,8,0,Рама,"Материал рамы"
38,8,0,Рама,"Складная рама "
39,8,0,Рама,"Прокладка тросов внутри рамы"
40,8,0,Рама,"Задний амортизатор"
41,8,0,Рама,"Цвет рамы"
